2022-02-10 15:13:49.377230 Humidity: 23.5 %rH, Temperature: 25.18 *C, Radon STA: 79 Bq/m3, Radon LTA: 79 Bq/m3
2022-02-10 15:14:51.434967 Humidity: 23.5 %rH, Temperature: 25.18 *C, Radon STA: 79 Bq/m3, Radon LTA: 79 Bq/m3
2022-02-10 15:15:54.589065 Humidity: 23.5 %rH, Temperature: 25.18 *C, Radon STA: 79 Bq/m3, Radon LTA: 79 Bq/m3
2022-02-10 15:16:56.733953 Humidity: 24.0 %rH, Temperature: 25.22 *C, Radon STA: 79 Bq/m3, Radon LTA: 79 Bq/m3
2022-02-10 15:17:58.834441 Humidity: 24.0 %rH, Temperature: 25.22 *C, Radon STA: 79 Bq/m3, Radon LTA: 79 Bq/m3
2022-02-10 15:19:00.946149 Humidity: 24.0 %rH, Temperature: 25.22 *C, Radon STA: 79 Bq/m3, Radon LTA: 79 Bq/m3
2022-02-10 15:20:03.530967 Humidity: 24.0 %rH, Temperature: 25.22 *C, Radon STA: 79 Bq/m3, Radon LTA: 79 Bq/m3
2022-02-10 15:21:05.606429 Humidity: 24.0 %rH, Temperature: 25.22 *C, Radon STA: 79 Bq/m3, Radon LTA: 79 Bq/m3
2022-02-10 15:22:07.637921 Humidity: 24.0 %rH, Temperature: 25.26 *C, Radon STA: 79 Bq/m3, Radon LTA: 79 Bq/m3
2022-02-10 15:23:09.728127 Humidity: 24.0 %rH, Temperature: 25.26 *C, Radon STA: 79 Bq/m3, Radon LTA: 79 Bq/m3
2022-02-10 15:24:11.829638 Humidity: 24.0 %rH, Temperature: 25.26 *C, Radon STA: 79 Bq/m3, Radon LTA: 79 Bq/m3
2022-02-10 15:25:13.937116 Humidity: 24.0 %rH, Temperature: 25.26 *C, Radon STA: 79 Bq/m3, Radon LTA: 79 Bq/m3
2022-02-10 15:26:16.048984 Humidity: 24.0 %rH, Temperature: 25.26 *C, Radon STA: 79 Bq/m3, Radon LTA: 79 Bq/m3
2022-02-10 15:27:18.142884 Humidity: 24.5 %rH, Temperature: 25.28 *C, Radon STA: 79 Bq/m3, Radon LTA: 79 Bq/m3
2022-02-10 15:28:20.167875 Humidity: 24.5 %rH, Temperature: 25.28 *C, Radon STA: 79 Bq/m3, Radon LTA: 79 Bq/m3
2022-02-10 15:29:22.705558 Humidity: 24.5 %rH, Temperature: 25.28 *C, Radon STA: 79 Bq/m3, Radon LTA: 79 Bq/m3
2022-02-10 15:30:25.228330 Humidity: 24.5 %rH, Temperature: 25.28 *C, Radon STA: 79 Bq/m3, Radon LTA: 79 Bq/m3
2022-02-10 15:31:27.316151 Humidity: 24.5 %rH, Temperature: 25.28 *C, Radon STA: 79 Bq/m3, Radon LTA: 79 Bq/m3
2022-02-10 15:32:29.422708 Humidity: 24.5 %rH, Temperature: 25.3 *C, Radon STA: 79 Bq/m3, Radon LTA: 79 Bq/m3
2022-02-10 15:33:32.049179 Humidity: 24.5 %rH, Temperature: 25.3 *C, Radon STA: 79 Bq/m3, Radon LTA: 79 Bq/m3
2022-02-10 15:34:34.247909 Humidity: 24.5 %rH, Temperature: 25.3 *C, Radon STA: 79 Bq/m3, Radon LTA: 79 Bq/m3
2022-02-10 15:35:36.788299 Humidity: 24.5 %rH, Temperature: 25.3 *C, Radon STA: 79 Bq/m3, Radon LTA: 79 Bq/m3
2022-02-10 15:36:38.883293 Humidity: 24.5 %rH, Temperature: 25.29 *C, Radon STA: 79 Bq/m3, Radon LTA: 79 Bq/m3
2022-02-10 15:37:40.936188 Humidity: 24.5 %rH, Temperature: 25.29 *C, Radon STA: 79 Bq/m3, Radon LTA: 79 Bq/m3
2022-02-10 15:38:43.060188 Humidity: 24.5 %rH, Temperature: 25.29 *C, Radon STA: 79 Bq/m3, Radon LTA: 79 Bq/m3
2022-02-10 15:39:45.096394 Humidity: 24.5 %rH, Temperature: 25.29 *C, Radon STA: 79 Bq/m3, Radon LTA: 79 Bq/m3
2022-02-10 15:40:47.699138 Humidity: 24.5 %rH, Temperature: 25.29 *C, Radon STA: 79 Bq/m3, Radon LTA: 79 Bq/m3
2022-02-10 15:41:49.763186 Humidity: 24.5 %rH, Temperature: 25.29 *C, Radon STA: 79 Bq/m3, Radon LTA: 79 Bq/m3
2022-02-10 15:42:52.787035 Humidity: 24.5 %rH, Temperature: 25.29 *C, Radon STA: 79 Bq/m3, Radon LTA: 79 Bq/m3
